# m,p,t,C_l,obj
0.000000000000000000e+00,4.333333333333333481e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,4.333333333333333481e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,4.333333333333333481e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,4.333333333333333481e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,4.333333333333333481e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,5.111111111111110716e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,5.111111111111110716e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,5.111111111111110716e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,5.111111111111110716e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
0.000000000000000000e+00,5.111111111111110716e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,5.111111111111110716e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,5.111111111111110716e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,5.111111111111110716e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,5.111111111111110716e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,5.111111111111110716e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,5.888888888888889062e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,5.888888888888889062e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,5.888888888888889062e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,5.888888888888889062e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
0.000000000000000000e+00,5.888888888888889062e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,5.888888888888889062e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,5.888888888888889062e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,5.888888888888889062e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,5.888888888888889062e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,5.888888888888889062e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,6.666666666666667407e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,6.666666666666667407e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,6.666666666666667407e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,6.666666666666667407e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
0.000000000000000000e+00,6.666666666666667407e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,6.666666666666667407e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,6.666666666666667407e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,6.666666666666667407e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,6.666666666666667407e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,6.666666666666667407e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,7.444444444444444642e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,7.444444444444444642e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,7.444444444444444642e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,7.444444444444444642e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
0.000000000000000000e+00,7.444444444444444642e-01,2.333333333333333648e-01,1.307500004768371582e+00,4.795562624931335449e-01
0.000000000000000000e+00,7.444444444444444642e-01,2.666666666666667185e-01,1.339300036430358887e+00,4.365244805812835693e-01
0.000000000000000000e+00,7.444444444444444642e-01,3.000000000000000444e-01,1.371000051498413086e+00,3.956409990787506104e-01
0.000000000000000000e+00,7.444444444444444642e-01,3.333333333333333703e-01,1.402799963951110840e+00,3.566478490829467773e-01
0.000000000000000000e+00,7.444444444444444642e-01,3.666666666666666963e-01,1.435099959373474121e+00,3.191120028495788574e-01
0.000000000000000000e+00,7.444444444444444642e-01,4.000000000000000222e-01,1.467399954795837402e+00,2.836627662181854248e-01
0.000000000000000000e+00,8.222222222222221877e-01,1.000000000000000056e-01,1.181100010871887207e+00,6.705971956253051758e-01
0.000000000000000000e+00,8.222222222222221877e-01,1.333333333333333592e-01,1.213999986648559570e+00,6.177960038185119629e-01
0.000000000000000000e+00,8.222222222222221877e-01,1.666666666666666852e-01,1.245100021362304688e+00,5.698739886283874512e-01
0.000000000000000000e+00,8.222222222222221877e-01,2.000000000000000111e-01,1.276100039482116699e+00,5.240312218666076660e-01
